Mon Apr 1 1968,New York Knicks,Philadelphia 76ers,97,113,Madison Square Garden (IV),0,/boxscores/196804010NYK.html
Mon Apr 1 1968,Detroit Pistons,Boston Celtics,103,111,Cobo Arena,0,/boxscores/196804010DET.html
Tue Apr 2 1968,San Francisco Warriors,St. Louis Hawks,111,106,Cow Palace,0,/boxscores/196804020SFW.html
Fri Apr 5 1968,Los Angeles Lakers,San Francisco Warriors,133,105,The Forum,0,/boxscores/196804050LAL.html
Fri Apr 5 1968,Philadelphia 76ers,Boston Celtics,118,127,The Spectrum,0,/boxscores/196804050PHI.html
Wed Apr 10 1968,Boston Celtics,Philadelphia 76ers,106,115,Boston Garden,0,/boxscores/196804100BOS.html
Wed Apr 10 1968,Los Angeles Lakers,San Francisco Warriors,115,112,The Forum,0,/boxscores/196804100LAL.html
Thu Apr 11 1968,Philadelphia 76ers,Boston Celtics,122,114,The Spectrum,0,/boxscores/196804110PHI.html
Thu Apr 11 1968,San Francisco Warriors,Los Angeles Lakers,124,128,Cow Palace,0,/boxscores/196804110SFW.html
Sat Apr 13 1968,San Francisco Warriors,Los Angeles Lakers,100,106,Oakland-Alameda County Coliseum Arena,0,/boxscores/196804130SFW.html
Sun Apr 14 1968,Boston Celtics,Philadelphia 76ers,105,110,Boston Garden,0,/boxscores/196804140BOS.html
Mon Apr 15 1968,Philadelphia 76ers,Boston Celtics,104,122,The Spectrum,0,/boxscores/196804150PHI.html
Wed Apr 17 1968,Boston Celtics,Philadelphia 76ers,114,106,Boston Garden,0,/boxscores/196804170BOS.html
Fri Apr 19 1968,Philadelphia 76ers,Boston Celtics,96,100,The Spectrum,0,/boxscores/196804190PHI.html
Sun Apr 21 1968,Boston Celtics,Los Angeles Lakers,107,101,Boston Garden,9546,/boxscores/196804210BOS.html
Wed Apr 24 1968,Boston Celtics,Los Angeles Lakers,113,123,Boston Garden,14780,/boxscores/196804240BOS.html
Fri Apr 26 1968,Los Angeles Lakers,Boston Celtics,119,127,The Forum,17011,/boxscores/196804260LAL.html
Sun Apr 28 1968,Los Angeles Lakers,Boston Celtics,118,105,The Forum,17147,/boxscores/196804280LAL.html
Tue Apr 30 1968,Boston Celtics,Los Angeles Lakers,120,117,Boston Garden,14780,/boxscores/196804300BOS.html
