Sun May 1 2005,Philadelphia 76ers,Detroit Pistons,92,97,Wachovia Center,15894,/boxscores/200505010PHI.html
Sun May 1 2005,New Jersey Nets,Miami Heat,97,110,Continental Airlines Arena,20174,/boxscores/200505010NJN.html
Sun May 1 2005,Memphis Grizzlies,Phoenix Suns,115,123,FedEx Forum,17243,/boxscores/200505010MEM.html
Sun May 1 2005,Sacramento Kings,Seattle SuperSonics,102,115,ARCO Arena (II),17317,/boxscores/200505010SAC.html
Mon May 2 2005,Washington Wizards,Chicago Bulls,106,99,MCI Center,20173,/boxscores/200505020WAS.html
Mon May 2 2005,Dallas Mavericks,Houston Rockets,103,100,American Airlines Center,20894,/boxscores/200505020DAL.html
Mon May 2 2005,Denver Nuggets,San Antonio Spurs,115,126,Pepsi Center,19776,/boxscores/200505020DEN.html
Tue May 3 2005,Boston Celtics,Indiana Pacers,85,90,FleetCenter,18624,/boxscores/200505030BOS.html
Tue May 3 2005,Detroit Pistons,Philadelphia 76ers,88,78,The Palace of Auburn Hills,22076,/boxscores/200505030DET.html
Tue May 3 2005,Seattle SuperSonics,Sacramento Kings,122,118,KeyArena at Seattle Center,17072,/boxscores/200505030SEA.html
Wed May 4 2005,Chicago Bulls,Washington Wizards,110,112,United Center,22250,/boxscores/200505040CHI.html
Wed May 4 2005,San Antonio Spurs,Denver Nuggets,99,89,SBC Center,18797,/boxscores/200505040SAS.html
Thu May 5 2005,Indiana Pacers,Boston Celtics,89,92,Conseco Fieldhouse,18345,/boxscores/200505050IND.html
Thu May 5 2005,Houston Rockets,Dallas Mavericks,101,83,Toyota Center,18215,/boxscores/200505050HOU.html
Fri May 6 2005,Washington Wizards,Chicago Bulls,94,91,MCI Center,20173,/boxscores/200505060WAS.html
Sat May 7 2005,Boston Celtics,Indiana Pacers,70,97,FleetCenter,18624,/boxscores/200505070BOS.html
Sat May 7 2005,Dallas Mavericks,Houston Rockets,116,76,American Airlines Center,20884,/boxscores/200505070DAL.html
Sun May 8 2005,Miami Heat,Washington Wizards,105,86,AmericanAirlines Arena,20151,/boxscores/200505080MIA.html
Sun May 8 2005,San Antonio Spurs,Seattle SuperSonics,103,81,SBC Center,18797,/boxscores/200505080SAS.html
Mon May 9 2005,Detroit Pistons,Indiana Pacers,96,81,The Palace of Auburn Hills,22076,/boxscores/200505090DET.html
Mon May 9 2005,Phoenix Suns,Dallas Mavericks,127,102,America West Arena,18422,/boxscores/200505090PHO.html
Tue May 10 2005,Miami Heat,Washington Wizards,108,102,AmericanAirlines Arena,20205,/boxscores/200505100MIA.html
Tue May 10 2005,San Antonio Spurs,Seattle SuperSonics,108,91,SBC Center,18797,/boxscores/200505100SAS.html
Wed May 11 2005,Detroit Pistons,Indiana Pacers,83,92,The Palace of Auburn Hills,22076,/boxscores/200505110DET.html
Wed May 11 2005,Phoenix Suns,Dallas Mavericks,106,108,America West Arena,18422,/boxscores/200505110PHO.html
Thu May 12 2005,Washington Wizards,Miami Heat,95,102,MCI Center,20173,/boxscores/200505120WAS.html
Thu May 12 2005,Seattle SuperSonics,San Antonio Spurs,92,91,KeyArena at Seattle Center,17072,/boxscores/200505120SEA.html
Fri May 13 2005,Indiana Pacers,Detroit Pistons,79,74,Conseco Fieldhouse,18345,/boxscores/200505130IND.html
Fri May 13 2005,Dallas Mavericks,Phoenix Suns,102,119,American Airlines Center,20896,/boxscores/200505130DAL.html
Sat May 14 2005,Washington Wizards,Miami Heat,95,99,MCI Center,20173,/boxscores/200505140WAS.html
Sun May 15 2005,Indiana Pacers,Detroit Pistons,76,89,Conseco Fieldhouse,18345,/boxscores/200505150IND.html
Sun May 15 2005,Seattle SuperSonics,San Antonio Spurs,101,89,KeyArena at Seattle Center,17072,/boxscores/200505150SEA.html
Sun May 15 2005,Dallas Mavericks,Phoenix Suns,119,109,American Airlines Center,20894,/boxscores/200505150DAL.html
Tue May 17 2005,Detroit Pistons,Indiana Pacers,86,67,The Palace of Auburn Hills,22076,/boxscores/200505170DET.html
Tue May 17 2005,San Antonio Spurs,Seattle SuperSonics,103,90,SBC Center,18797,/boxscores/200505170SAS.html
Wed May 18 2005,Phoenix Suns,Dallas Mavericks,114,108,America West Arena,18422,/boxscores/200505180PHO.html
Thu May 19 2005,Indiana Pacers,Detroit Pistons,79,88,Conseco Fieldhouse,18345,/boxscores/200505190IND.html
Thu May 19 2005,Seattle SuperSonics,San Antonio Spurs,96,98,KeyArena at Seattle Center,17072,/boxscores/200505190SEA.html
Fri May 20 2005,Dallas Mavericks,Phoenix Suns,126,130,American Airlines Center,20915,/boxscores/200505200DAL.html
Sun May 22 2005,Phoenix Suns,San Antonio Spurs,114,121,America West Arena,18422,/boxscores/200505220PHO.html
Mon May 23 2005,Miami Heat,Detroit Pistons,81,90,AmericanAirlines Arena,20203,/boxscores/200505230MIA.html
Tue May 24 2005,Phoenix Suns,San Antonio Spurs,108,111,America West Arena,18422,/boxscores/200505240PHO.html
Wed May 25 2005,Miami Heat,Detroit Pistons,92,86,AmericanAirlines Arena,20228,/boxscores/200505250MIA.html
Sat May 28 2005,San Antonio Spurs,Phoenix Suns,102,92,SBC Center,18797,/boxscores/200505280SAS.html
Sun May 29 2005,Detroit Pistons,Miami Heat,104,113,The Palace of Auburn Hills,22076,/boxscores/200505290DET.html
Mon May 30 2005,San Antonio Spurs,Phoenix Suns,106,111,SBC Center,18797,/boxscores/200505300SAS.html
Tue May 31 2005,Detroit Pistons,Miami Heat,106,96,The Palace of Auburn Hills,22076,/boxscores/200505310DET.html
