Wed Jun 1 2005,Phoenix Suns,San Antonio Spurs,95,101,America West Arena,18422,/boxscores/200506010PHO.html
Thu Jun 2 2005,Miami Heat,Detroit Pistons,88,76,AmericanAirlines Arena,20225,/boxscores/200506020MIA.html
Sat Jun 4 2005,Detroit Pistons,Miami Heat,91,66,The Palace of Auburn Hills,22076,/boxscores/200506040DET.html
Mon Jun 6 2005,Miami Heat,Detroit Pistons,82,88,AmericanAirlines Arena,20241,/boxscores/200506060MIA.html
Thu Jun 9 2005,San Antonio Spurs,Detroit Pistons,84,69,SBC Center,18797,/boxscores/200506090SAS.html
Sun Jun 12 2005,San Antonio Spurs,Detroit Pistons,97,76,SBC Center,18797,/boxscores/200506120SAS.html
Tue Jun 14 2005,Detroit Pistons,San Antonio Spurs,96,79,The Palace of Auburn Hills,22076,/boxscores/200506140DET.html
Thu Jun 16 2005,Detroit Pistons,San Antonio Spurs,102,71,The Palace of Auburn Hills,22076,/boxscores/200506160DET.html
Sun Jun 19 2005,Detroit Pistons,San Antonio Spurs,95,96,The Palace of Auburn Hills,22076,/boxscores/200506190DET.html
Tue Jun 21 2005,San Antonio Spurs,Detroit Pistons,86,95,SBC Center,18797,/boxscores/200506210SAS.html
Thu Jun 23 2005,San Antonio Spurs,Detroit Pistons,81,74,SBC Center,18797,/boxscores/200506230SAS.html
