Mon May 1 2006,Memphis Grizzlies,Dallas Mavericks,76,102,FedEx Forum,15104,/boxscores/200605010MEM.html
Mon May 1 2006,Milwaukee Bucks,Detroit Pistons,99,109,Bradley Center,16296,/boxscores/200605010MIL.html
Mon May 1 2006,Los Angeles Clippers,Denver Nuggets,101,83,STAPLES Center,18648,/boxscores/200605010LAC.html
Tue May 2 2006,New Jersey Nets,Indiana Pacers,92,86,Continental Airlines Arena,18804,/boxscores/200605020NJN.html
Tue May 2 2006,Miami Heat,Chicago Bulls,92,78,AmericanAirlines Arena,20287,/boxscores/200605020MIA.html
Tue May 2 2006,San Antonio Spurs,Sacramento Kings,109,98,SBC Center,18797,/boxscores/200605020SAS.html
Tue May 2 2006,Phoenix Suns,Los Angeles Lakers,114,97,America West Arena,18422,/boxscores/200605020PHO.html
Wed May 3 2006,Detroit Pistons,Milwaukee Bucks,122,93,The Palace of Auburn Hills,22076,/boxscores/200605030DET.html
Wed May 3 2006,Cleveland Cavaliers,Washington Wizards,121,120,Gund Arena,20562,/boxscores/200605030CLE.html
Thu May 4 2006,Indiana Pacers,New Jersey Nets,90,96,Conseco Fieldhouse,16586,/boxscores/200605040IND.html
Thu May 4 2006,Chicago Bulls,Miami Heat,96,113,United Center,22584,/boxscores/200605040CHI.html
Thu May 4 2006,Los Angeles Lakers,Phoenix Suns,118,126,STAPLES Center,18997,/boxscores/200605040LAL.html
Fri May 5 2006,Washington Wizards,Cleveland Cavaliers,113,114,MCI Center,20173,/boxscores/200605050WAS.html
Fri May 5 2006,Sacramento Kings,San Antonio Spurs,83,105,ARCO Arena (II),17317,/boxscores/200605050SAC.html
Sat May 6 2006,Phoenix Suns,Los Angeles Lakers,121,90,America West Arena,18422,/boxscores/200605060PHO.html
Sun May 7 2006,San Antonio Spurs,Dallas Mavericks,87,85,SBC Center,18797,/boxscores/200605070SAS.html
Sun May 7 2006,Detroit Pistons,Cleveland Cavaliers,113,86,The Palace of Auburn Hills,22076,/boxscores/200605070DET.html
Mon May 8 2006,Miami Heat,New Jersey Nets,88,100,AmericanAirlines Arena,20208,/boxscores/200605080MIA.html
Mon May 8 2006,Phoenix Suns,Los Angeles Clippers,130,123,America West Arena,18422,/boxscores/200605080PHO.html
Tue May 9 2006,Detroit Pistons,Cleveland Cavaliers,97,91,The Palace of Auburn Hills,22076,/boxscores/200605090DET.html
Tue May 9 2006,San Antonio Spurs,Dallas Mavericks,91,113,SBC Center,18797,/boxscores/200605090SAS.html
Wed May 10 2006,Miami Heat,New Jersey Nets,111,89,AmericanAirlines Arena,20227,/boxscores/200605100MIA.html
Wed May 10 2006,Phoenix Suns,Los Angeles Clippers,97,122,America West Arena,18422,/boxscores/200605100PHO.html
Fri May 12 2006,New Jersey Nets,Miami Heat,92,103,Continental Airlines Arena,20102,/boxscores/200605120NJN.html
Fri May 12 2006,Los Angeles Clippers,Phoenix Suns,91,94,STAPLES Center,19877,/boxscores/200605120LAC.html
Sat May 13 2006,Cleveland Cavaliers,Detroit Pistons,86,77,Gund Arena,20562,/boxscores/200605130CLE.html
Sat May 13 2006,Dallas Mavericks,San Antonio Spurs,104,103,American Airlines Center,20865,/boxscores/200605130DAL.html
Sun May 14 2006,New Jersey Nets,Miami Heat,92,102,Continental Airlines Arena,19474,/boxscores/200605140NJN.html
Sun May 14 2006,Los Angeles Clippers,Phoenix Suns,114,107,STAPLES Center,19897,/boxscores/200605140LAC.html
Mon May 15 2006,Cleveland Cavaliers,Detroit Pistons,74,72,Gund Arena,20562,/boxscores/200605150CLE.html
Mon May 15 2006,Dallas Mavericks,San Antonio Spurs,123,118,American Airlines Center,20969,/boxscores/200605150DAL.html
Tue May 16 2006,Miami Heat,New Jersey Nets,106,105,AmericanAirlines Arena,20255,/boxscores/200605160MIA.html
