Thu May 1 2014,Atlanta Hawks,Indiana Pacers,88,95,Philips Arena,19044,/boxscores/201405010ATL.html
Thu May 1 2014,Memphis Grizzlies,Oklahoma City Thunder,84,104,FedEx Forum,18119,/boxscores/201405010MEM.html
Thu May 1 2014,Golden State Warriors,Los Angeles Clippers,100,99,Oracle Arena,19596,/boxscores/201405010GSW.html
Fri May 2 2014,Brooklyn Nets,Toronto Raptors,97,83,Barclays Center,17732,/boxscores/201405020BRK.html
Fri May 2 2014,Dallas Mavericks,San Antonio Spurs,113,111,American Airlines Center,20799,/boxscores/201405020DAL.html
Fri May 2 2014,Portland Trail Blazers,Houston Rockets,99,98,Moda Center,20204,/boxscores/201405020POR.html
Sat May 3 2014,Indiana Pacers,Atlanta Hawks,92,80,Bankers Life Fieldhouse,18165,/boxscores/201405030IND.html
Sat May 3 2014,Oklahoma City Thunder,Memphis Grizzlies,120,109,Chesapeake Energy Arena,18203,/boxscores/201405030OKC.html
Sat May 3 2014,Los Angeles Clippers,Golden State Warriors,126,121,STAPLES Center,19543,/boxscores/201405030LAC.html
Sun May 4 2014,Toronto Raptors,Brooklyn Nets,103,104,Air Canada Centre,20457,/boxscores/201405040TOR.html
Sun May 4 2014,San Antonio Spurs,Dallas Mavericks,119,96,AT&T Center,18581,/boxscores/201405040SAS.html
Mon May 5 2014,Indiana Pacers,Washington Wizards,96,102,Bankers Life Fieldhouse,18165,/boxscores/201405050IND.html
Mon May 5 2014,Oklahoma City Thunder,Los Angeles Clippers,105,122,Chesapeake Energy Arena,18203,/boxscores/201405050OKC.html
Tue May 6 2014,Miami Heat,Brooklyn Nets,107,86,AmericanAirlines Arena,19470,/boxscores/201405060MIA.html
Tue May 6 2014,San Antonio Spurs,Portland Trail Blazers,116,92,AT&T Center,18581,/boxscores/201405060SAS.html
Wed May 7 2014,Indiana Pacers,Washington Wizards,86,82,Bankers Life Fieldhouse,18165,/boxscores/201405070IND.html
Wed May 7 2014,Oklahoma City Thunder,Los Angeles Clippers,112,101,Chesapeake Energy Arena,18203,/boxscores/201405070OKC.html
Thu May 8 2014,Miami Heat,Brooklyn Nets,94,82,AmericanAirlines Arena,19639,/boxscores/201405080MIA.html
Thu May 8 2014,San Antonio Spurs,Portland Trail Blazers,114,97,AT&T Center,18581,/boxscores/201405080SAS.html
Fri May 9 2014,Washington Wizards,Indiana Pacers,63,85,Verizon Center,20356,/boxscores/201405090WAS.html
Fri May 9 2014,Los Angeles Clippers,Oklahoma City Thunder,112,118,STAPLES Center,19530,/boxscores/201405090LAC.html
Sat May 10 2014,Brooklyn Nets,Miami Heat,104,90,Barclays Center,17732,/boxscores/201405100BRK.html
Sat May 10 2014,Portland Trail Blazers,San Antonio Spurs,103,118,Moda Center,20321,/boxscores/201405100POR.html
Sun May 11 2014,Los Angeles Clippers,Oklahoma City Thunder,101,99,STAPLES Center,19365,/boxscores/201405110LAC.html
Sun May 11 2014,Washington Wizards,Indiana Pacers,92,95,Verizon Center,20356,/boxscores/201405110WAS.html
Mon May 12 2014,Brooklyn Nets,Miami Heat,96,102,Barclays Center,17732,/boxscores/201405120BRK.html
Mon May 12 2014,Portland Trail Blazers,San Antonio Spurs,103,92,Moda Center,20141,/boxscores/201405120POR.html
Tue May 13 2014,Indiana Pacers,Washington Wizards,79,102,Bankers Life Fieldhouse,18165,/boxscores/201405130IND.html
Tue May 13 2014,Oklahoma City Thunder,Los Angeles Clippers,105,104,Chesapeake Energy Arena,18203,/boxscores/201405130OKC.html
Wed May 14 2014,Miami Heat,Brooklyn Nets,96,94,AmericanAirlines Arena,19615,/boxscores/201405140MIA.html
Wed May 14 2014,San Antonio Spurs,Portland Trail Blazers,104,82,AT&T Center,18581,/boxscores/201405140SAS.html
Thu May 15 2014,Washington Wizards,Indiana Pacers,80,93,Verizon Center,19502,/boxscores/201405150WAS.html
Thu May 15 2014,Los Angeles Clippers,Oklahoma City Thunder,98,104,STAPLES Center,19565,/boxscores/201405150LAC.html
Sun May 18 2014,Indiana Pacers,Miami Heat,107,96,Bankers Life Fieldhouse,18165,/boxscores/201405180IND.html
Mon May 19 2014,San Antonio Spurs,Oklahoma City Thunder,122,105,AT&T Center,18581,/boxscores/201405190SAS.html
Tue May 20 2014,Indiana Pacers,Miami Heat,83,87,Bankers Life Fieldhouse,18165,/boxscores/201405200IND.html
Wed May 21 2014,San Antonio Spurs,Oklahoma City Thunder,112,77,AT&T Center,18581,/boxscores/201405210SAS.html
Sat May 24 2014,Miami Heat,Indiana Pacers,99,87,AmericanAirlines Arena,20025,/boxscores/201405240MIA.html
Sun May 25 2014,Oklahoma City Thunder,San Antonio Spurs,106,97,Chesapeake Energy Arena,18203,/boxscores/201405250OKC.html
Mon May 26 2014,Miami Heat,Indiana Pacers,102,90,AmericanAirlines Arena,19874,/boxscores/201405260MIA.html
Tue May 27 2014,Oklahoma City Thunder,San Antonio Spurs,105,92,Chesapeake Energy Arena,18203,/boxscores/201405270OKC.html
Wed May 28 2014,Indiana Pacers,Miami Heat,93,90,Bankers Life Fieldhouse,18165,/boxscores/201405280IND.html
Thu May 29 2014,San Antonio Spurs,Oklahoma City Thunder,117,89,AT&T Center,18581,/boxscores/201405290SAS.html
Fri May 30 2014,Miami Heat,Indiana Pacers,117,92,AmericanAirlines Arena,20021,/boxscores/201405300MIA.html
Sat May 31 2014,Oklahoma City Thunder,San Antonio Spurs,107,112,Chesapeake Energy Arena,18203,/boxscores/201405310OKC.html
