Fri May 1 2015,Brooklyn Nets,Atlanta Hawks,87,111,Barclays Center,17732,/boxscores/201505010BRK.html
Sat May 2 2015,Los Angeles Clippers,San Antonio Spurs,111,109,STAPLES Center,19588,/boxscores/201505020LAC.html
Sun May 3 2015,Atlanta Hawks,Washington Wizards,98,104,Philips Arena,18148,/boxscores/201505030ATL.html
Sun May 3 2015,Golden State Warriors,Memphis Grizzlies,101,86,Oracle Arena,19596,/boxscores/201505030GSW.html
Mon May 4 2015,Cleveland Cavaliers,Chicago Bulls,92,99,Quicken Loans Arena,20562,/boxscores/201505040CLE.html
Mon May 4 2015,Houston Rockets,Los Angeles Clippers,101,117,Toyota Center,18231,/boxscores/201505040HOU.html
Tue May 5 2015,Atlanta Hawks,Washington Wizards,106,90,Philips Arena,18131,/boxscores/201505050ATL.html
Tue May 5 2015,Golden State Warriors,Memphis Grizzlies,90,97,Oracle Arena,19596,/boxscores/201505050GSW.html
Wed May 6 2015,Cleveland Cavaliers,Chicago Bulls,106,91,Quicken Loans Arena,20562,/boxscores/201505060CLE.html
Wed May 6 2015,Houston Rockets,Los Angeles Clippers,115,109,Toyota Center,18310,/boxscores/201505060HOU.html
Fri May 8 2015,Chicago Bulls,Cleveland Cavaliers,99,96,United Center,22246,/boxscores/201505080CHI.html
Fri May 8 2015,Los Angeles Clippers,Houston Rockets,124,99,STAPLES Center,19367,/boxscores/201505080LAC.html
Sat May 9 2015,Washington Wizards,Atlanta Hawks,103,101,Verizon Center,20356,/boxscores/201505090WAS.html
Sat May 9 2015,Memphis Grizzlies,Golden State Warriors,99,89,FedEx Forum,18119,/boxscores/201505090MEM.html
Sun May 10 2015,Chicago Bulls,Cleveland Cavaliers,84,86,United Center,22256,/boxscores/201505100CHI.html
Sun May 10 2015,Los Angeles Clippers,Houston Rockets,128,95,STAPLES Center,19490,/boxscores/201505100LAC.html
Mon May 11 2015,Washington Wizards,Atlanta Hawks,101,106,Verizon Center,20356,/boxscores/201505110WAS.html
Mon May 11 2015,Memphis Grizzlies,Golden State Warriors,84,101,FedEx Forum,18119,/boxscores/201505110MEM.html
Tue May 12 2015,Cleveland Cavaliers,Chicago Bulls,106,101,Quicken Loans Arena,20562,/boxscores/201505120CLE.html
Tue May 12 2015,Houston Rockets,Los Angeles Clippers,124,103,Toyota Center,18142,/boxscores/201505120HOU.html
Wed May 13 2015,Atlanta Hawks,Washington Wizards,82,81,Philips Arena,18854,/boxscores/201505130ATL.html
Wed May 13 2015,Golden State Warriors,Memphis Grizzlies,98,78,Oracle Arena,19596,/boxscores/201505130GSW.html
Thu May 14 2015,Chicago Bulls,Cleveland Cavaliers,73,94,United Center,22695,/boxscores/201505140CHI.html
Thu May 14 2015,Los Angeles Clippers,Houston Rockets,107,119,STAPLES Center,19417,/boxscores/201505140LAC.html
Fri May 15 2015,Washington Wizards,Atlanta Hawks,91,94,Verizon Center,20356,/boxscores/201505150WAS.html
Fri May 15 2015,Memphis Grizzlies,Golden State Warriors,95,108,FedEx Forum,18119,/boxscores/201505150MEM.html
Sun May 17 2015,Houston Rockets,Los Angeles Clippers,113,100,Toyota Center,18463,/boxscores/201505170HOU.html
Tue May 19 2015,Golden State Warriors,Houston Rockets,110,106,Oracle Arena,19596,/boxscores/201505190GSW.html
Wed May 20 2015,Atlanta Hawks,Cleveland Cavaliers,89,97,Philips Arena,18489,/boxscores/201505200ATL.html
Thu May 21 2015,Golden State Warriors,Houston Rockets,99,98,Oracle Arena,19596,/boxscores/201505210GSW.html
Fri May 22 2015,Atlanta Hawks,Cleveland Cavaliers,82,94,Philips Arena,18670,/boxscores/201505220ATL.html
Sat May 23 2015,Houston Rockets,Golden State Warriors,80,115,Toyota Center,18282,/boxscores/201505230HOU.html
Sun May 24 2015,Cleveland Cavaliers,Atlanta Hawks,114,111,Quicken Loans Arena,20562,/boxscores/201505240CLE.html
Mon May 25 2015,Houston Rockets,Golden State Warriors,128,115,Toyota Center,18239,/boxscores/201505250HOU.html
Tue May 26 2015,Cleveland Cavaliers,Atlanta Hawks,118,88,Quicken Loans Arena,20562,/boxscores/201505260CLE.html
Wed May 27 2015,Golden State Warriors,Houston Rockets,104,90,Oracle Arena,19596,/boxscores/201505270GSW.html
